order_id,user_id,estimated arrival,transaction_date
eac330c0-457a-4faa-b15a-52a3c440e7f3,USER23985,12days,2022-08-13
a800f0d9-47d8-455b-b096-622e76156705,USER44549,9days,2022-11-11
26b60a4e-aafe-4b99-bace-034d088a4a53,USER53013,8days,2022-01-05
96c718b3-0de0-482c-8b05-9081d47314c6,USER55595,8days,2022-05-29
0e6eeff9-dc85-4e22-9d0d-0758f2e321f6,USER29425,8days,2022-11-17
9ae58335-164a-467c-ae22-fe5dabe806b9,USER60720,10days,2022-07-18
cfe3bf97-21ae-4187-8a21-918b46a1ec6f,USER36328,4days,2022-07-13
61c61e9b-9838-4c95-8390-4343fbac7a18,USER41629,9days,2022-09-21
f6a5f607-8863-4df3-978e-2b1bbddd0f3a,USER49992,12days,2022-05-02
6a646ebe-9d75-4b5a-9d99-5506e3754c5f,USER13829,3days,2022-07-13
