order_id,merchant_id,staff_id
848f9cad-c4d3-4822-83e9-322ae73261c3,MERCHANT9789,STAFF0020354
be97922b-20fb-4244-9e25-bac98b209668,MERCHANT43424,STAFF0061355
dc905240-5fcd-45e4-8077-be831e1f0263,MERCHANT23900,STAFF0038795
11cd8029-61f2-4bc8-a148-cb1a4afd8b57,MERCHANT58797,STAFF0023844
69c9e6fc-326e-4f2d-98c6-5360b91cfb84,MERCHANT41587,STAFF0022537
a43e517f-3ed1-46a1-9350-69d68b7affdd,MERCHANT27387,STAFF0059864
fdba1dc4-f8ec-40cc-af25-c9cae3ffbb38,MERCHANT10527,STAFF0016028
5c7720e9-49eb-486d-a9ed-886461466d75,MERCHANT37655,STAFF0014971
ccea6a2b-2657-4051-8666-e86fc9536b1e,MERCHANT29971,STAFF0062806
032e1fed-1545-418e-99e2-0d3ff03268b6,MERCHANT4167,STAFF0050181
