order_id,user_id,estimated arrival,transaction_date
0612c246-57f1-40e8-9993-0f8d41992049,USER24284,10days,2023-08-14
74e7c07a-d266-492f-a8f7-22987013d7e1,USER47513,15days,2023-10-30
4aab29ae-e610-46bf-92af-199f6f420cee,USER50778,14days,2023-09-19
89c3c238-2ae5-4883-bba5-08e23dbedee3,USER44062,8days,2023-07-11
03c25b03-a7cc-4758-8490-cdd5dd492646,USER48153,15days,2023-07-21
fd92cc32-e28e-4f14-b8f8-4526ea58fb3f,USER28561,3days,2023-11-13
425c355a-bfe4-4bff-bea5-f519cc73a1bb,USER44940,10days,2023-06-05
5310c9f0-9573-4f06-9e95-646b0d809485,USER33928,3days,2023-09-03
a0410714-4e8b-4ded-81ef-dfb7881e3225,USER32100,6days,2023-11-16
d0d34809-6960-49e2-9dbf-98f70fc760d9,USER26781,15days,2023-06-08
