order_id,merchant_id,staff_id
eac330c0-457a-4faa-b15a-52a3c440e7f3,MERCHANT58557,STAFF0027757
e1beaf61-e687-4e70-bdd4-3ea338139a0b,MERCHANT0605,STAFF0039068
0612c246-57f1-40e8-9993-0f8d41992049,MERCHANT22282,STAFF0058495
a800f0d9-47d8-455b-b096-622e76156705,MERCHANT39307,STAFF0038632
b4c411de-2fd3-4806-91ae-165edc9baa12,MERCHANT26962,STAFF0035568
74e7c07a-d266-492f-a8f7-22987013d7e1,MERCHANT37248,STAFF0060449
26de6b40-db2d-40b9-a64c-58736eaf0381,MERCHANT8014,STAFF0012755
d42d7e7a-71bd-43aa-8bed-49d52b74d4eb,MERCHANT32685,STAFF0045411
26b60a4e-aafe-4b99-bace-034d088a4a53,MERCHANT42925,STAFF0000262
4aab29ae-e610-46bf-92af-199f6f420cee,MERCHANT52393,STAFF0032621
