order_id,user_id,estimated arrival,transaction_date
26de6b40-db2d-40b9-a64c-58736eaf0381,USER36943,3days,2023-01-30
71ef25bd-1146-4ac9-b371-ede0cda08093,USER10211,7days,2023-04-13
d06a6ad2-b254-4cc6-8397-4c9bf1a2823e,USER28839,3days,2023-04-05
8bfbd31b-5a72-4c80-9e95-9168e9d822e3,USER00089,4days,2023-04-07
3fab0712-4542-4779-89cc-29518063ce8f,USER63283,12days,2023-04-18
82eedf3a-c4c8-4e8a-a98c-fd1a8a455e8c,USER46707,10days,2022-12-02
5b745b71-71ba-4fe1-ab3a-7d5b6d1480ff,USER27991,3days,2022-12-15
6bff72ef-dfdd-427d-8f20-d92c4ec82215,USER35059,11days,2023-01-27
21749437-11fa-4635-9014-ce17b22ec734,USER48456,4days,2023-03-20
e36359d3-66ca-4cca-9392-e11cc8e4ebe2,USER26654,5days,2022-12-14
