order_id,price,quantity
dc70f978-3a6b-4baf-b97e-4a88690a34fe,42.13,8PC
dc70f978-3a6b-4baf-b97e-4a88690a34fe,42.13,5piece
3556b3e7-046a-4148-b1cb-d86ee7ee5421,42.13,10PC
3556b3e7-046a-4148-b1cb-d86ee7ee5421,42.13,5pcs
29b63149-3b3c-4309-a751-7d0a563f7c12,40.87,5PC
29b63149-3b3c-4309-a751-7d0a563f7c12,40.87,6px
e2cf9c27-5120-4129-928c-0a436ea9a522,40.87,7PC
e2cf9c27-5120-4129-928c-0a436ea9a522,40.87,9PCs
a7d54380-1923-4b9e-932d-112bcdb444bf,37.61,6PC
a7d54380-1923-4b9e-932d-112bcdb444bf,37.61,10PC
