order_id,user_id,estimated arrival,transaction_date
b4c411de-2fd3-4806-91ae-165edc9baa12,USER28531,13days,2021-10-12
d42d7e7a-71bd-43aa-8bed-49d52b74d4eb,USER56935,13days,2021-10-15
84295de8-90c2-4e67-a1d9-b1ffab45623f,USER11824,13days,2021-10-11
74a59808-b7f5-4dc1-b441-a8e0e15b49b6,USER51578,15days,2021-10-22
b3965e7d-23d7-475b-93f0-13b49a999030,USER51925,9days,2021-10-09
b686ebbd-5349-455d-913d-468132dc3034,USER15061,11days,2021-11-30
c9d73340-75ba-4ad0-9e56-7ea82003ef5d,USER58907,8days,2021-12-09
b620ebab-c44d-4372-9fc7-838800d31287,USER38831,8days,2021-10-05
a1b5cfe0-54f5-49f4-b9f3-6975aa67d282,USER15366,15days,2021-10-30
f7701cdd-f012-41c6-a564-cd5020582c5c,USER62662,11days,2021-12-23
