order_id,product_name,product_id
f1c591a5-fd7c-498f-ae4e-2739334878ce,clock,PRODUCT14601
8a720341-a145-4a7c-b2d5-ac3c6e0d8da8,book of jokes,PRODUCT63300
8a720341-a145-4a7c-b2d5-ac3c6e0d8da8,book of jokes,PRODUCT63300
fd365f1c-9c25-4544-b4b2-fd9f55d3e6e2,book of jokes,PRODUCT63300
fd365f1c-9c25-4544-b4b2-fd9f55d3e6e2,book of jokes,PRODUCT63300
484f9ec5-d747-4a02-a9c9-02b249aa8f5c,gaming gards,PRODUCT14660
484f9ec5-d747-4a02-a9c9-02b249aa8f5c,gaming gards,PRODUCT14660
7489e6c5-8e1e-4ec0-91c7-e2d1308a5ef1,gaming gards,PRODUCT14660
7489e6c5-8e1e-4ec0-91c7-e2d1308a5ef1,gaming gards,PRODUCT14660
44f739c2-73f4-491c-a932-c1362831e0e3,gaming gards,PRODUCT14660
